Date,Close/Last,Volume,Open,High,Low
5/3/2024,$296.07 ,1503922,$294.81 ,$298.82 ,$292.04 
5/2/2024,$294.17 ,1627972,$287.52 ,$294.39 ,$283.39 
5/1/2024,$284.54 ,1671864,$280.66 ,$290.88 ,$280.66 
4/30/2024,$280.44 ,1258095,$287.00 ,$288.45 ,$280.37 
4/29/2024,$286.24 ,1851897,$289.01 ,$290.91 ,$284.23 
4/26/2024,$289.59 ,2477228,$292.65 ,$294.00 ,$284.84 
4/25/2024,$289.02 ,3711405,$275.67 ,$291.38 ,$271.65 
4/24/2024,$281.23 ,8241547,$301.35 ,$305.64 ,$278.14 
4/23/2024,$303.31 ,11386190,$301.13 ,$319.30 ,$298.50 
4/22/2024,$272.24 ,5589180,$280.97 ,$280.97 ,$267.76 
4/19/2024,$275.83 ,4245510,$284.80 ,$285.00 ,$270.45 
4/18/2024,$289.20 ,2027178,$294.78 ,$296.80 ,$288.67 
4/17/2024,$293.58 ,1471279,$298.32 ,$300.05 ,$293.27 
4/16/2024,$298.08 ,1585650,$291.13 ,$300.93 ,$289.01 
4/15/2024,$290.52 ,1944005,$302.72 ,$304.59 ,$290.35 
4/12/2024,$300.45 ,1419981,$301.00 ,$303.36 ,$299.00 
4/11/2024,$303.57 ,1134701,$300.79 ,$305.74 ,$299.02 
4/10/2024,$299.99 ,1511202,$297.79 ,$303.45 ,$296.00 
4/9/2024,$300.73 ,2541840,$308.60 ,$309.59 ,$299.11 
4/8/2024,$309.07 ,1721212,$309.20 ,$313.16 ,$307.41 
4/5/2024,$310.31 ,2988374,$298.68 ,$313.07 ,$298.68 
4/4/2024,$295.96 ,3554016,$293.00 ,$304.00 ,$292.75 
4/3/2024,$291.77 ,4630849,$285.04 ,$293.00 ,$279.00 
4/2/2024,$269.58 ,1930591,$261.44 ,$270.72 ,$261.38 
4/1/2024,$266.43 ,1122824,$262.97 ,$267.24 ,$260.80 
3/28/2024,$263.90 ,1371668,$258.53 ,$268.55 ,$258.00 
3/27/2024,$260.20 ,1427218,$267.00 ,$269.72 ,$257.56 
3/26/2024,$262.81 ,1956367,$273.01 ,$278.30 ,$262.65 
3/25/2024,$261.92 ,824685,$263.01 ,$264.95 ,$260.89 
3/22/2024,$264.95 ,868220,$259.38 ,$265.46 ,$258.89 
3/21/2024,$259.64 ,1097571,$264.21 ,$264.67 ,$258.50 
3/20/2024,$261.72 ,1587644,$256.17 ,$262.41 ,$254.42 
3/19/2024,$252.76 ,1067565,$253.95 ,$254.78 ,$249.58 
3/18/2024,$254.15 ,885934,$257.00 ,$257.68 ,$251.61 
3/15/2024,$254.89 ,1432147,$256.99 ,$256.99 ,$252.51 
3/14/2024,$257.13 ,847131,$257.55 ,$259.40 ,$255.59 
3/13/2024,$257.26 ,924816,$258.27 ,$260.49 ,$255.38 
3/12/2024,$258.09 ,1351010,$255.50 ,$259.74 ,$254.96 
3/11/2024,$254.45 ,2489454,$258.50 ,$259.00 ,$253.25 
3/8/2024,$259.40 ,1968096,$269.50 ,$272.44 ,$259.24 
3/7/2024,$270.35 ,921483,$268.00 ,$271.72 ,$266.02 
3/6/2024,$268.03 ,1181270,$270.00 ,$272.08 ,$267.42 
3/5/2024,$267.00 ,2482498,$268.36 ,$270.27 ,$263.28 
3/4/2024,$270.00 ,2793041,$263.56 ,$271.56 ,$262.49 
3/1/2024,$263.75 ,2303948,$256.15 ,$263.82 ,$254.54 
2/29/2024,$256.41 ,1336493,$254.36 ,$257.36 ,$252.77 
2/28/2024,$252.25 ,1657466,$250.97 ,$253.44 ,$249.38 
2/27/2024,$253.02 ,1529954,$255.82 ,$255.99 ,$250.54 
2/26/2024,$254.99 ,1754817,$255.49 ,$256.43 ,$250.23 
2/23/2024,$256.10 ,2492750,$249.28 ,$256.29 ,$247.95 
2/22/2024,$248.12 ,1728492,$247.96 ,$249.22 ,$243.99 
2/21/2024,$245.09 ,1897482,$243.29 ,$245.64 ,$240.73 
2/20/2024,$243.40 ,2222584,$244.14 ,$246.50 ,$239.66 
2/16/2024,$246.25 ,1548596,$245.46 ,$248.50 ,$243.38 
